123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
7625.68	6984.41	8267.5	8867.29	8619.52	8293.73	8501.61	9017.83	8513.56	7810.76	8153.89	7617.55
8859.23	8457.15	9199.36	9327.66	9490.66	8990.59	9255.95	9162.03	8597.6	8531.31	9126.79	8453.07
7546.78	6819.91	7388.26	6861.58	8244.18	7047.48	8470.01	7712.27	6088.41	6858.3	6494.9	7132.89
6682.56	5561.16	6353.39	5780.08	4458.04	4601.22	5099.93	3985.15	5206.68	6497.77	6031.68	4745.39
4899.15	4280.68	4556.6	4124.97	4496.06	4133.42	5056.93	4144.29	4212.51	4371.58	4393.37	4747.3
640.192	689.217	763.612	713.933	825.837	800.102	859.328	853.243	584.732	879.105	514.063	629.859
2138.59	2923.35	2306.5	2434.23	2719.75	2692.73	2453.03	2327.53	2691.44	2207.48	2837.18	2617.1
7265.41	6446.21	6516.04	5122.79	5648.21	5572.88	5607.18	5209.4	3257.46	4149.02	4284.4	4006.89
320.271	91.5601	350.67	101.356	476.876	105.988	510.647	262.693	110.376	415.736	99.425	419.226
452.539	638.948	722.414	589.26	594.681	591.15	646.753	505.051	722.712	642.697	434.194	609.312
829.977	596.076	871.554	534.697	827.082	428.67	824.876	685.245	339.347	607.843	245.819	646.951
1407.87	1583.88	1805.62	1352.52	1520.08	1609.39	1708.53	1311.24	1534.76	2378.43	1720.26	2076.31
2122.72	2440.93	2608.89	2002.87	2457.72	2319.24	2848.3	2225.55	1957.58	2689.57	2112.46	2609.95
3502.11	3209.9	3713.48	4468.93	3827.99	4069.58	3473.33	3926.23	5137.59	4190.5	4838.15	3762.25
560.845	813.293	723.513	1109.38	697.198	1098.58	802.485	759.934	1772.27	1377.52	1654.5	1504.37
1406.34	1434.72	1578.83	1614.81	1552.79	1645.6	1700.88	1460	1879.57	1790.41	1860.03	1746.27
7491.78	7485.76	8259.05	7446.82	6697.52	6831.85	7426.05	6730.1	7571.39	7453.25	7816.63	7668.78
951.798	1288.95	1140.79	1428.38	1019.98	1380.38	1060.63	1002.8	1800.06	1725.37	1964.45	1691.06
2288.13	2500.7	2723.41	2593.71	2290.58	2458.61	2399.97	2586.54	2817.1	3018.59	3052.41	2477.94
4024.09	3763.83	3612.69	3997.3	5212.88	4415.25	4870.43	4605.91	3582.87	4076.19	3659.5	3512.82
7180.83	7320.58	8564.43	8986.69	8844.97	8410.5	9161.76	8171.89	8187.37	7620.69	7668.42	7046.2
6757.61	5938.1	6698.7	7374.37	7448.33	7083.22	7199.19	6525.84	8018.86	7194.46	7271.67	7572.99
